id.establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad;superficie (m2)
64;Devoto Hermanos S.A.;Devoto - HIPER PIRIAPOLIS;Piria y Buenos Aires;NULL;Interior;27;Devoto;-34,86549145;-55,27038576;Piriápolis;Maldonado;10;10523;NULL
65;Devoto Hermanos S.A.;Devoto - SAYAGO;Camino Ariel 4626;13;Sayago;29;Devoto;-34,83638996;-56,21149212;Montevideo;Montevideo;1;1020;NULL
66;Ta Ta S.A.;Ta - Ta - Florida;Independencia 666;NULL;Interior;3;Ta - Ta;-34,09827705;-56,21565646;Florida;Florida;8;8220;NULL
67;Ta Ta S.A.;Ta - Ta - Goes;Avda. Gral. Flores 2569/71;3;Goes;3;Ta - Ta;-34,88037673;-56,18172176;Montevideo;Montevideo;1;1020;NULL
68;Ta Ta S.A.;Ta - Ta - Cerro;Grecia 3396;17;Cerro;3;Ta - Ta;-34,89035879;-56,24788098;Montevideo;Montevideo;1;1020;NULL
69;Ta Ta S.A.;Ta - Ta - San José;Asamblea  620;NULL;Interior;3;Ta - Ta;-34,33996066;-56,71293279;San José de Mayo;San José;16;16220;NULL
70;Ta Ta S.A.;Ta - Ta - Melo;Aparicio Saravia 665;NULL;Interior;4;Ta - Ta;-32,369228;-54,16912088;Melo;Cerro Largo;4;4220;NULL
71;Ta Ta S.A.;Ta - Ta - Malvín Norte;Piran 2101;8;Malvín;4;Ta - Ta;-34,8745169;-56,1223416;Montevideo;Montevideo;1;1020;NULL
72;Ta Ta S.A.;Ta - Ta - Pando;Avda. Gral. Artigas 851;NULL;Interior;4;Ta - Ta;-34,717023;-55,96221554;Pando;Canelones;3;3322;NULL
73;Ta Ta S.A.;Ta - Ta - Artigas;Bernabé Rivera  269;NULL;Interior;5;Ta - Ta;-30,39981984;-56,46589301;Artigas;Artigas;2;2220;NULL
74;Ta Ta S.A.;Ta - Ta - Durazno;18 de Julio 580;NULL;Interior;5;Ta - Ta;-33,37924226;-56,52223948;Durazno;Durazno;6;6220;NULL
75;Ta Ta S.A.;Ta - Ta - Colón;Avda. Garzón 1952;12;Colón ;5;Ta - Ta;-34,80447919;-56,22252959;Montevideo;Montevideo;1;1020;NULL
76;Ta Ta S.A.;Ta - Ta - Portones;Avda. Italia 5757;8;Carrasco;5;Ta - Ta;-34,88220508;-56,08223564;Montevideo;Montevideo;1;1020;NULL
77;Superstar Ltda.;Ta - Ta - Hiper Plaza Ss;Leandro Gómez esq. Zelmar Michelini (Z. Michelini 911);NULL;Interior;5;Ta - Ta;-32,31643682;-58,09558874;Paysandú;Paysandú;11;11120;NULL
78;Ta Ta S.A.;Ta - Ta - Young;18 de Julio 1923;NULL;Interior;5;Ta - Ta;-32,6996292;-57,6287617;Young;Río Negro;12;12421;NULL
79;Ta Ta S.A.;Ta - Ta - Fray Bentos;18 de Julio 1625;NULL;Interior;6;Ta - Ta;-33,12115054;-58,30647655;Fray Bentos;Río Negro;12;12320;NULL
80;Ta Ta S.A.;Ta - Ta - Unión;Avda. 8 de Octubre 3723;6;Unión;6;Ta - Ta;-34,87531947;-56,14131826;Montevideo;Montevideo;1;1020;NULL
81;Superstar Ltda.;Ta - Ta - Hiper Norte Ss;Zorrilla de San Martín 1705;NULL;Interior;6;Ta - Ta;-32,30229708;-58,07829654;Paysandú;Paysandú;11;11120;NULL
82;Ta Ta S.A.;Ta - Ta - Rosario;Artigas 200;NULL;Interior;6;Ta - Ta;-34,316172;-57,356172;Rosario;Colonia;5;5422;NULL
83;Ta Ta S.A.;Ta - Ta -Hiper Colonia;Avda. Roosevelt y Luis Casanello;NULL;Interior;7;Ta - Ta;-34,46590035;-57,83459086;Colonia del Sacramento;Colonia;5;5320;NULL
84;Ta Ta S.A.;Ta - Ta - Juan Lacaze;Jose Salvo 100;NULL;Interior;7;Ta - Ta;-34,4368371;-57,4376265;Juan Lacaze;Colonia;5;5323;NULL
85;Ta Ta S.A.;Ta - Ta - Hiper Las Piedras;Avda. Gral. Artigas 810;NULL;Interior;7;Ta - Ta;-34,72718148;-56,22376272;Las Piedras;Canelones;3;3221;NULL
86;Ta Ta S.A.;Ta - Ta - Hiper Melo;Villanueva Saravia 777;NULL;Interior;7;Ta - Ta;-32,35674232;-54,1650241;Melo;Cerro Largo;4;4220;NULL
87;Ta Ta S.A.;Ta - Ta - Hiper Mercedes;Artigas y Rodó;NULL;Interior;7;Ta - Ta;-33,25008096;-58,02999503;Mercedes;Soriano;17;17220;NULL
88;Ta Ta S.A.;Ta - Ta - Minas;18 de Julio  620;NULL;Interior;7;Ta - Ta;-34,37704023;-55,23705664;Minas;Lavalleja;9;9220;NULL
89;Ta Ta S.A.;Ta - Ta - 18 de Julio;Avda. 18 de Julio 1280;1;Centro;7;Ta - Ta;-34,90588074;-56,1884683;Montevideo;Montevideo;1;1020;NULL
90;Ta Ta S.A.;Ta - Ta - Centro;Avda. 18 de Julio 880;1;Centro;7;Ta - Ta;-34,9065197;-56,19747883;Montevideo;Montevideo;1;1020;NULL
91;Ta Ta S.A.;Ta - Ta - Paysandú;18 deJulio1128;NULL;Interior;7;Ta - Ta;-32,31720503;-58,08288566;Paysandú;Paysandú;11;11120;100
